target,censored,feature_i,feature_j,S2,S2_conf
hlap_min,False,g_peak_abs,profile_duration_s,4.1052444484289326e-05,0.0006044302860785012
hlap_min,False,g_peak_abs,dehydration_level,0.0005133897936071552,0.0007622093035826409
hlap_min,False,g_peak_abs,g_tolerance_multiplier,3.676647815841073e-05,0.0006050569420059436
hlap_min,False,g_peak_abs,gsuit_max_psi,3.67278618716523e-05,0.0006050582636322903
hlap_min,False,g_peak_abs,gsuit_coverage_fraction,3.67278618716523e-05,0.0006050582636322903
hlap_min,False,g_peak_abs,agsm_effectiveness,3.6723373252663404e-05,0.0006050395873929168
hlap_min,False,g_peak_abs,pbg_max_mmhg,3.67278618716523e-05,0.0006050582636322903
hlap_min,False,dgdt_max_g_per_s,profile_duration_s,-0.00011819831660922494,0.0006829152664006057
hlap_min,False,dgdt_max_g_per_s,dehydration_level,-0.00022472980155807676,0.0008263893413614638
hlap_min,False,dgdt_max_g_per_s,g_tolerance_multiplier,-0.0001289333510801063,0.0006817194496285207
hlap_min,False,dgdt_max_g_per_s,gsuit_max_psi,-0.0001310108449884968,0.0006831512527648233
hlap_min,False,dgdt_max_g_per_s,gsuit_coverage_fraction,-0.0001310108449884968,0.0006831512527648233
hlap_min,False,dgdt_max_g_per_s,agsm_effectiveness,-0.0001298558414229288,0.0006825834338581745
hlap_min,False,dgdt_max_g_per_s,pbg_max_mmhg,-0.0001310108449884968,0.0006831512527648233
hlap_min,False,profile_duration_s,dehydration_level,0.00047752794047473124,0.0015027682246728051
hlap_min,False,profile_duration_s,g_tolerance_multiplier,-0.00026992913028394143,0.0011367216819165378
hlap_min,False,profile_duration_s,gsuit_max_psi,-0.00026892722996662617,0.0011377444013784058
hlap_min,False,profile_duration_s,gsuit_coverage_fraction,-0.00026892722996662617,0.0011377444013784058
hlap_min,False,profile_duration_s,agsm_effectiveness,-0.00026955443254763343,0.0011373277260142219
hlap_min,False,profile_duration_s,pbg_max_mmhg,-0.00026892722996662617,0.0011377444013784058
hlap_min,False,dehydration_level,g_tolerance_multiplier,-0.0008911556204445636,0.024901024376614823
hlap_min,False,dehydration_level,gsuit_max_psi,-0.0008915634937702865,0.0249015146225082
hlap_min,False,dehydration_level,gsuit_coverage_fraction,-0.0008915634937702865,0.0249015146225082
hlap_min,False,dehydration_level,agsm_effectiveness,-0.0007348750277567499,0.02483733531922136
hlap_min,False,dehydration_level,pbg_max_mmhg,-0.0008915634937702865,0.0249015146225082
hlap_min,False,g_tolerance_multiplier,gsuit_max_psi,0.00014449172229619465,0.00014859857134448876
hlap_min,False,g_tolerance_multiplier,gsuit_coverage_fraction,0.00014449172229619465,0.00014859857134448876
hlap_min,False,g_tolerance_multiplier,agsm_effectiveness,0.00014447984164231968,0.00014858343581138734
hlap_min,False,g_tolerance_multiplier,pbg_max_mmhg,0.00014449172229619465,0.00014859857134448876
hlap_min,False,gsuit_max_psi,gsuit_coverage_fraction,0.0,0.0
hlap_min,False,gsuit_max_psi,agsm_effectiveness,2.168404344971009e-19,2.393532736775051e-18
hlap_min,False,gsuit_max_psi,pbg_max_mmhg,0.0,0.0
hlap_min,False,gsuit_coverage_fraction,agsm_effectiveness,2.168404344971009e-19,2.393532736775051e-18
hlap_min,False,gsuit_coverage_fraction,pbg_max_mmhg,0.0,0.0
hlap_min,False,agsm_effectiveness,pbg_max_mmhg,3.1086178417356295e-06,0.0003588038200195265
c_bank_min,False,g_peak_abs,dgdt_max_g_per_s,0.02185793512741917,0.08133567612620733
c_bank_min,False,g_peak_abs,profile_duration_s,0.1006042139472953,0.09715093451510334
c_bank_min,False,g_peak_abs,dehydration_level,0.022020337894846496,0.08178263294039456
c_bank_min,False,g_peak_abs,g_tolerance_multiplier,0.02196932678245089,0.0816950157251223
c_bank_min,False,g_peak_abs,gsuit_max_psi,0.021984087680083753,0.08167548566167612
c_bank_min,False,g_peak_abs,gsuit_coverage_fraction,0.021984087680083753,0.08167548566167612
c_bank_min,False,g_peak_abs,agsm_effectiveness,0.026820326870834483,0.08285623230080164
c_bank_min,False,g_peak_abs,pbg_max_mmhg,0.021984087680083753,0.08167548566167612
c_bank_min,False,dgdt_max_g_per_s,profile_duration_s,-0.002804571867108002,0.011354389525554492
c_bank_min,False,dgdt_max_g_per_s,dehydration_level,-0.0029580292278645203,0.009728364363185376
c_bank_min,False,dgdt_max_g_per_s,g_tolerance_multiplier,-0.002946808171486993,0.009767139576473618
c_bank_min,False,dgdt_max_g_per_s,gsuit_max_psi,-0.0029484606469631046,0.009767007452534006
c_bank_min,False,dgdt_max_g_per_s,gsuit_coverage_fraction,-0.0029484606469631046,0.009767007452534006
c_bank_min,False,dgdt_max_g_per_s,agsm_effectiveness,-0.0035513432802103152,0.009877337349426845
c_bank_min,False,dgdt_max_g_per_s,pbg_max_mmhg,-0.0029484606469631046,0.009767007452534006
c_bank_min,False,profile_duration_s,dehydration_level,-0.028619041426875803,0.05948236517520096
c_bank_min,False,profile_duration_s,g_tolerance_multiplier,-0.027879575618844164,0.05974965239826571
c_bank_min,False,profile_duration_s,gsuit_max_psi,-0.0279214216395334,0.05974377668556669
c_bank_min,False,profile_duration_s,gsuit_coverage_fraction,-0.0279214216395334,0.05974377668556669
c_bank_min,False,profile_duration_s,agsm_effectiveness,-0.021855838132514332,0.06072609731405085
c_bank_min,False,profile_duration_s,pbg_max_mmhg,-0.0279214216395334,0.05974377668556669
c_bank_min,False,dehydration_level,g_tolerance_multiplier,0.00016007561573903368,0.002214060754561143
c_bank_min,False,dehydration_level,gsuit_max_psi,0.00015832053432836182,0.0022141479460026075
c_bank_min,False,dehydration_level,gsuit_coverage_fraction,0.00015832053432836182,0.0022141479460026075
c_bank_min,False,dehydration_level,agsm_effectiveness,0.00016491383759221438,0.0022220915933920476
c_bank_min,False,dehydration_level,pbg_max_mmhg,0.00015832053432836182,0.0022141479460026075
c_bank_min,False,g_tolerance_multiplier,gsuit_max_psi,2.1014673994647527e-05,0.00033781041034327685
c_bank_min,False,g_tolerance_multiplier,gsuit_coverage_fraction,2.1014673994647527e-05,0.00033781041034327685
c_bank_min,False,g_tolerance_multiplier,agsm_effectiveness,-5.128793388264018e-07,0.00033837634640180024
c_bank_min,False,g_tolerance_multiplier,pbg_max_mmhg,2.1014673994647527e-05,0.00033781041034327685
c_bank_min,False,gsuit_max_psi,gsuit_coverage_fraction,0.0,0.0
c_bank_min,False,gsuit_max_psi,agsm_effectiveness,8.673617379884035e-19,5.852799735903425e-18
c_bank_min,False,gsuit_max_psi,pbg_max_mmhg,0.0,0.0
c_bank_min,False,gsuit_coverage_fraction,agsm_effectiveness,8.673617379884035e-19,5.852799735903425e-18
c_bank_min,False,gsuit_coverage_fraction,pbg_max_mmhg,0.0,0.0
c_bank_min,False,agsm_effectiveness,pbg_max_mmhg,-0.0012844822271166588,0.012922883174992536
